city_ascii;lat;lng
Santa Cruz;-177892;-631975
Qinhuangdao;399398;1195881
Tongliao;436172;1222640
Jinzhou;411144;1211292
Heyuan;237503;1146923
San Diego;328313;-1171222
Jaipur;269000;758000
Xinzhou;384178;1127233
Lanzhou;360617;1038318
Wuzhou;234833;1113167
Athens;379842;237281
Addis Ababa;90300;387400
Chaoyang;415757;1204486
Brasilia;-157939;-478828
Taichung;241439;1206794
Kuwait City;293697;479783
Budapest;474925;190514
Shaoguan;248011;1135927
Shanwei;227664;1153331
Quezon City;146300;1210300
Rizhao;354164;1194331
Kyiv;504500;305233
Sanaa;153483;442064
Meishan;300575;1038381
Incheon;374833;1266333
Guatemala City;146099;-905252
Birmingham;524800;-19025
Zhongshan;225333;1133500
Ningde;266617;1195228
Weihai;375000;1221000
Daqing;465979;1250080
Bursa;401833;290500
Salvador;-129747;-384767
Rome;418931;124828
Haikou;200200;1103200
La Paz;-165000;-681500
Xiangtan;278431;1129228
Pyongyang;390194;1257381
Minneapolis;449635;-932678
Omdurman;156500;324833
Malang;-79800;1126200
Mudanjiang;445861;1295997
Stuttgart;487775;91800
Brooklyn;406501;-739496
Kaohsiung;226150;1202975
Guayaquil;-21900;-798875
Lisbon;387253;-91500
Longyan;250881;1170244
Tieling;422841;1238365
Manchester;534794;-22453
Baotou;406562;1098345
Handan;366116;1144894
Cawnpore;264499;803319
Dingxi;355806;1046263
Nanping;266448;1181728
Tampa;279945;-824447
Zigong;293498;1047645
Maracaibo;106333;-716333
Chaozhou;236700;1166300
Mbuji-Mayi;-61500;236000
Denver;397620;-1048758
Gulou;260865;1192980
Weifang;367167;1191000
Huai'an;335058;1191392
Zibo;367831;1180497
Ankang;326877;1090235
Baoshan;251211;991690
Antananarivo;-189333;475167
Huludao;407094;1208378
Munich;481375;115750
Yanjiang;301256;1046397
Santo Domingo;184764;-698933
Sanming;262658;1176302
Tashkent;413111;692797
Longba;335350;1053490
Yangjiang;218556;1119627
Jiamusi;468081;1303653
Luohe;335830;1140109
Lincang;238864;1000871
Medellin;62308;-755906
Xuanzhou;309475;1187518
Yunfu;229242;1120353
Shaoxing;300000;1205833
Yantai;373997;1212664
Huizhou;231115;1144152
Lishui;284500;1199167
Mirzapur;251460;825690
Hamburg;535500;100000
Guangyuan;324353;1058398
Cali;34206;-765222
Lusaka;-154167;282833
Huangshi;302018;1150326
Xining;366239;1017787
Ouagadougou;123686;-15275
Daegu;358717;1286017
Fortaleza;-37275;-385275
Yaounde;38667;115167
Jilin;438519;1265481
Dandong;401167;1243833
Zhuhai;222769;1135678
Lianshan;407523;1208280
Yingkou;406653;1222297
Antalya;368874;307075
Nagpur;211497;790806
Queens;407498;-737976
Accra;55500;-2000
Bekasi;-62349;1069923
Ghaziabad;286700;774200
Yuxi;243495;1025432
Luoyang;346587;1124245
Brisbane;-274678;1530281
Anshun;262456;1059340
Depok;-63940;1068225
Shangzhou;338680;1099244
Huainan;324831;1170164
Colombo;69344;798428
Kuaidamao;417302;1259471
Baku;403667;498352
Fukuoka;335833;1304000
Yan'an;365952;1094863
Jincheng;354906;1128483
Vancouver;492500;-1231000
Nantong;319829;1208873
Tangerang;-61783;1066319
Caracas;104806;-669036
Sanmenxia;347736;1111950
Laibin;237333;1092333
Konya;378667;324833
Manaus;-31000;-600167
Esfahan;326447;516675
Qinbaling;357278;1076400
Baltimore;393051;-766144
Ma'anshan;316858;1185101
Shengli;374500;1184667
Gaoping;307824;1061281
Taizhou;286583;1214221
Harare;-178292;310522
Kowloon;223167;1141833
Las Vegas;362333;-1152654
Havana;231367;-823589
Perth;-319559;1158606
Phnom Penh;115694;1049211
Puning;232993;1161586
Huaibei;339562;1167890
Qingyang;248141;1185792
Haiphong;208651;1066838
Chongzuo;224167;1073667
Rawalpindi;336000;730333
Yushan;313867;1209766
St. Louis;386359;-902451
Kumasi;66667;-16167
Vadodara;223000;732000
Hezhou;244164;1115478
Pingliang;355412;1066819
Portland;455371;-1226500
Vishakhapatnam;177042;832978
Gujranwala;321567;741900
Baicheng;456148;1228320
Gaziantep;370628;373792
Fushun;418708;1238917
Riverside;339381;-1173949
Bamako;126458;-79922
Quito;-2200;-785125
Minsk;539000;275667
Tijuana;325250;-1170333
Bamenda;59614;101517
Boosaaso;112886;491819
Indore;227167;758472
Sanliurfa;371583;387917
Vienna;482083;163725
Karaj;358272;509489
Kananga;-58970;224488
Peshawar;340144;715675
Sapporo;430667;1413500
Ecatepec;196097;-990600
Pingxiang;276333;1138500
Orlando;284773;-813370
Aleppo;362000;371600
Sacramento;385677;-1214685
Almaty;432775;768958
San Juan;183985;-660610
San Antonio;294632;-985238
Yinchuan;384795;1062254
Thane;191972;729722
Santos;-239369;-463250
Blantyre;-157861;350058
Bucharest;444325;261039
Curitiba;-254297;-492711
Multan;301978;714697
Tainan;229833;1201833
Xiping;400820;1132981
Port Harcourt;48242;70336
Warsaw;522300;210111
Jixi;452937;1309650
Saidu Sharif;347500;723572
Liaoyang;412643;1231772
Beihai;214667;1091000
Meru;500;376500
Brazzaville;-42694;152714
Fuxin;420127;1216486
Wuwei;379278;1026329
Mersin;368000;346333
Bhopal;232500;774167
Lubumbashi;-116647;274794
Denpasar;-86500;1152167
Davao;70667;1256000
Shuyangzha;341299;1187734
Adana;370000;353213
Damascus;335131;362919
Brussels;508467;43525
Hyderabad City;253792;683683
Diyarbakir;379100;402400
San Jose;373012;-1218480
Chinchvad;186186;738037
Montevideo;-348836;-561819
Pittsburgh;404397;-799763
Shuozhou;393408;1124292
Cincinnati;391413;-845060
Benxi;412920;1237610
Baiyin;365448;1041766
Mosul;363400;431300
Manhattan;407834;-739662
Caloocan City;146500;1209700
Kampala;3136;325811
Patna;256000;851000
Tegucigalpa;141000;-872167
Cleveland;414764;-816805
Sanzhou;308200;1084000
Changshu;316500;1207333
Mecca;214225;398233
Heihe;502458;1274886
Jingdezhen;292942;1172036
Conakry;95092;-137122
Recife;-80500;-349000
Indianapolis;397771;-861458
Austin;303005;-977522
Sangereng;-62889;1067181
Kansas City;391238;-945541
Zhongli;249650;1212168
Novosibirsk;550333;829167
Bilaspur;220900;821500
Semarang;-69667;1104167
Ludhiana;309100;758500
Narayanganj;236200;905000
Stockholm;593294;180686
Chengtangcun;350833;1171500
Agra;271800;780200
Balandougou;133558;-95517
Agwar;271800;780200
Leon de los Aldama;211167;-1016833
Yopougon;53167;-40667
Puebla;190333;-981833
Madurai;99252;781198
Hebi;357497;1142887
Cordoba;-314167;-641833
Shiraz;296100;525425
Jamshedpur;227925;861842
Tabriz;380814;463006
Huzhou;308925;1200875
Columbus;399862;-829855
Sofia;427000;233300
Kawasaki;355167;1397000
San Jose;99325;-840800
Aba;51167;73667
Palembang;-29861;1047556
Zhangjiajie;291255;1104844
Kobe;346900;1351956
Jiaxing;307522;1207500
Charlotte;352083;-808303
Guiping;234000;1100833
Lianjiang;216146;1102794
Ximeicun;249633;1183811
Jianguang;281958;1157833
Yucheng;299888;1030007
Panama City;89833;-795167
Xushan;301697;1212665
Belem;-14558;-485039
Virginia Beach;367335;-760435
Leizhou;209147;1100806
Gwangju;351653;1268486
Nasik;200000;737800
Porto Alegre;-300331;-512300
Valencia;101667;-680000
Onitsha;61667;67833
Abu Dhabi;244667;543667
Daejeon;363510;1273850
Zapopan;207167;-1034000
Bronx;408501;-738662
Yekaterinburg;568356;606128
Huazhou;326832;1120790
Kyoto;350117;1357683
Jinhua;291046;1196494
Amsterdam;523728;48936
Shuangyashan;466388;1311545
Pizhou;343422;1180097
El Kelaa des Srarhna;320481;-74083
Dakar;146928;-174467
Kharkiv;499925;362311
Yangshe;318775;1205512
Guyuan;360080;1062782
Rui'an;277780;1206526
Khulna;228167;895500
Muscat;236139;585922
Wenling;283797;1213718
Gaozhou;219135;1108481
Faridabad;284167;773000
Chizhou;306583;1174849
Tel Aviv-Yafo;3208;3478
Ulaanbaatar;479203;1069172
Goiania;-166667;-492500
Fuqing;257232;1193735
Kayseri;387225;354875
Wuzhong;379874;1061919
Belgrade;448200;204600
Pingdu;367833;1199556
Milan;454669;91900
Aurangabad;198800;753200
Copenhagen;556761;125683
Yangquan;378576;1135762
Yutan;283147;1125540
Huangshan;297132;1183151
Auckland;-368406;1747400
Makassar;-51619;1194362
Santiago;194572;-706889
Milwaukee;430642;-879675
Rajkot;223000;707833
Prague;500875;144214
Samsun;412903;363336
Liangshi;272578;1117351
Barranquilla;109833;-748019
Saitama;358614;1396456
Guarulhos;-234628;-465328
Al Basrah;305150;478100
Mandalay;219831;960844
Juarez;317386;-1064870
Xintai;359100;1177800
Wusong;309333;1177667
Meerut;289800;777100
Yushu;448249;1265451
Rongcheng;262312;1040966
Huazhou;216540;1106294
Adelaide;-349275;1386000
Baishan;419377;1264179
Dayan;268808;1002208
Haicheng;408523;1227474
Tripoli;328872;131914
Jiangyin;319087;1202653
Yicheng;313697;1198239
Huaiyin;335819;1190280
Porto;411621;-86220
Cacuaco;-88053;132444
Soweto;-262678;278585
Rosario;-329575;-606394
Canagatan;180000;1218000
Helsinki;601708;249375
Jabalpur;231667;799333
Providence;418230;-714187
Rucheng;323852;1205634
Nizhniy Novgorod;563269;440075
Ahvaz;313203;486692
Jepara;-65333;1106667
Shaoyang;329387;1198404
Comayaguela;140981;-872097
Laiwu;361833;1176667
Sharjah;253575;553908
Kalamboli;192333;731333
Jingling;306667;1131667
Kazan;557964;491089
Suwon;372667;1270167
Yongcheng;339317;1164459
Sumedang;-68400;1079208
Calgary;510500;-1140667
Can Tho;100333;1057833
Yiwu;293081;1200698
Bagam;10833;1040333
Beidao;346020;1059180
Vasai;194700;728000
Xiangshui;265964;1048314
Jacksonville;303322;-816749
Akcaabat;410167;395500
Campinas;-229058;-470608
Dadukou;265849;1017149
Mombasa;-40500;396667
Lingcheng;227000;1103500
Najafgarh;286092;769798
Vila Velha;32167;-512167
Gazipura;239889;903750
Chelyabinsk;551500;614000
Varanasi;253189;830128
Xinyu;277950;1149242
Qom;346400;508764
Hargeysa;95631;440675
Zhangye;389355;1004553
Hiroshima;343914;1324519
Maiduguri;118333;131500
