city_ascii;lat;lng
Zhanggu;308795;1018822
Rocklin;388075;-1212489
Rohri;276831;689000
Imola;443531;117147
Limonade;196667;-721167
Sheboygan;437403;-877316
Casas Adobes;323423;-1110113
St. Charles;387954;-905157
Rhondda;516159;-34175
Satyamangalam;115167;772500
Kempten;477333;103167
Villa del Rosario;78339;-724742
Sanlucar de Barrameda;367667;-63500
Az Zubaydiyah;327588;451773
Phu Quoc;102289;1039669
Raha;-48311;1227239
Al `Amirat;235242;584989
Oshnaviyeh;370389;450992
Nihtaur;293300;783800
Fanzhuang;377771;1149620
Cahama;-162833;143167
Cianorte;-236628;-526050
Nansang;208889;977361
Shangchuankou;363283;1028015
Quilandi;114390;756950
Badhan;107139;483347
Celle;526256;100825
Nikki;99333;32083
Victoria;155781;1206819
Qingquan;387823;1010826
Garzon;21819;-756578
Isna;253000;325500
Minami-Alps;356083;1384650
Saldanha;-329978;179456
Maple Grove;451089;-934626
Cataguases;-213889;-426969
Tournai;506056;33881
Russas;-49400;-379758
Walnut Creek;379024;-1220399
Dublin;377161;-1218963
North Richland Hills;328604;-972180
San Juan de los Lagos;212489;-1023304
Solok;-7883;1006542
Uwajima;332167;1325667
Nowrangapur;192300;825500
Massa;440333;101333
Suwalki;540989;229286
Gary;415905;-873473
Glen Burnie;391560;-766071
Colmar;480817;73556
Bristol;365572;-822154
Decatur;345731;-869905
Velsen-Zuid;524667;46167
Yitiaoshan;371889;1040571
Roxas;103197;1193408
West Bend;434173;-881818
San Pedro;-336794;-596669
Indang;142000;1208833
Macaiba;-58578;-353539
Saint-Jerome;457833;-740000
Don Carlos;76808;1249953
Kollegal;120628;769777
Samch'ok;374500;1291650
La Paz;154431;1207289
Gniezno;525358;175958
Fedosiia;450489;353792
Bom Jesus da Lapa;-132550;-434178
Cawayan;119303;1237689
Fernandopolis;-202839;-502458
Anan;339167;1346667
Poptun;163222;-894222
Sabae;359565;1361843
Lodi;381218;-1212932
Ongjang;379371;1253571
Lima;407410;-841120
Florida;183643;-665611
Mansehra;343339;732014
Chisec;158125;-903217
Aqsu;520333;769167
Planeta Rica;84089;-755819
Yanghe;382727;1062496
Korba;365667;108667
Bafia;47500;112167
Ko Samui;95000;1000000
Brumado;-142039;-416650
Pongnam;372200;1269494
Liuhe;422669;1257404
Kamsar;106500;-146167
Fulda;505508;96753
Paradip Garh;203160;866100
Mamungan;81167;1242167
Huishi;356918;1050531
Ad Darb;177167;422500
Necocli;84167;-767833
Mocuba;-168500;369833
Minusinsk;537000;916833
Renk;118300;328000
Aparri;183575;1216372
Smila;492167;318667
Mococa;-214678;-470047
Tanabe;337333;1353833
Bagumbayan;65339;1245633
Oliveira de Azemeis;408400;-84750
Buenavista;89744;1254090
Purisima de Bustos;210333;-1018667
Lakeville;446774;-932520
Mocuba;-168496;382600
Blaine;451696;-932077
Arcoverde;-84189;-370539
San Leonardo;153611;1209622
Wagga Wagga;-351189;1473689
Stargard Szczecinski;533333;150500
Tiangua;-37319;-409919
Say'un;159430;487873
Palghar;196900;727600
Dinslaken;515667;67333
Poinciana;281217;-814821
Sousa;-67608;-382308
Al Ahmadi;290769;480838
Noblesville;400355;-860042
Wum;63833;100667
San Pedro Ayampuc;147785;-904525
Soja;346728;1337464
Nghia Lo;215758;1045192
Panna;247200;802000
Aalen;488333;101000
Lake Elsinore;336847;-1173344
Glogow;516589;160803
Tangub;80667;1237500
Ilkal;159592;761135
Bay;141833;1212833
Alamada;73868;1245534
Concordia;-272339;-520278
Cannock;526910;-20270
Beypore;111800;758200
Jarabacoa;191167;-706333
Swedru;55306;-7028
Odate;402714;1405642
Zapotlanejo;206228;-1030689
Palo Alto;373905;-1221468
Doboj;447333;181333
Castillejos;149333;1202000
Igbanke;63869;61647
Lippstadt;516667;83500
Drummondville;458833;-724833
Sagunto;396764;-2733
Mbake;147917;-159083
Nabha;303700;761500
Miagao;106442;1222352
Otukpo;71904;81300
Tuburan;107333;1238333
Sipocot;137675;1229783
Sanza Pombo;-73333;160000
Tulare;361995;-1193400
Cuyapo;157778;1206608
Lala Musa;327003;739578
Ash Shihr;147608;496069
Rogers;363170;-941531
Ixtlahuacan de los Membrillos;203500;-1031833
Yorba Linda;338890;-1177714
Renukut;242000;830300
Tuymazy;546000;537000
Chengjiao Chengguanzhen;344362;1040306
Bishnupur;230739;873200
Lodja;-35242;235964
Ceara-Mirim;-56339;-354258
Parkersburg;392623;-815420
Zamosc;507167;232528
Conceicao do Coite;-115639;-392828
Xinhua;236272;1056200
Eagan;448170;-931638
Rajsamand;250700;738800
Bergen op Zoom;515000;43000
Gopalganj;264700;844300
Weston;261006;-804054
Santa Barbara;108231;1225344
Urun-Islampur;170500;742670
Modasa;234700;733000
La Barca;202833;-1025667
Przemysl;497833;227667
Talipparamba;120368;753601
Wanzhuang;395683;1165941
Malkapur;208850;762000
Zanhuang;376590;1143775
Dhenkanal;206700;856000
Kstovo;561667;441667
Viterbo;424186;121042
Longview;461461;-1229630
Tzaneen;-238333;301667
Trapani;380175;125150
Antalaha;-148833;502500
Bay City;435902;-838887
Dubuque;425002;-907070
Tepotzotlan;197161;-992236
Porterville;360643;-1190338
Franklin;404759;-745515
Etawa;241800;782000
Longshan;264519;1069718
Xo`jayli Shahri;424000;594500
Mount Vernon;484203;-1223115
Ullal;128000;748500
Palatine;421180;-880430
Fuefuki;356473;1386397
Embu-Guacu;-238322;-468114
Islahiye;370250;366345
Rosales;158944;1206328
Chicacao;145428;-913288
Southampton;408997;-724931
El Paso de Robles;356394;-1206560
Sausar;216500;787800
Yuquan;404202;1140865
West Des Moines;415521;-937806
Kashima;359656;1406448
Santa Catarina Otzolotepec;185667;-972500
Manaure;117792;-724494
Lushar;364971;1015640
Saint John;452806;-660761
Tolanaro;-250325;469833
Hashima;353199;1367033
Ayolas;-274000;-569000
Zihuatanejo;176444;-1015511
Sahaswan;280680;787510
Sa'ada;316258;-81028
Omidiyeh;307458;497086
Siddipet;181018;788520
Herford;521333;86833
Cuilco;154078;-919472
Kissidougou;91905;-101200
Koratla;188215;787119
Guangping;364791;1149410
Ankazoabokely;-215036;452094
Weiyuan;368413;1019557
Chegutu;-181400;301500
Venustiano Carranza;163000;-926000
Pelileo;-13306;-785428
Yachimata;356667;1403167
Caico;-64578;-370978
Tejen;373833;605000
Agoo;163220;1203647
Itamaraju;-170389;-395308
Russelsheim;499950;84119
Rio Negro;-261000;-497900
Hobyo;53514;485256
Cosmopolis;-226458;-471961
Supaul;261260;866050
Moita;386500;-89833
San Mateo;168833;1215833
Sherman;336273;-966221
Tabatinga;-42525;-699381
Dolores Hidalgo Cuna de la Independencia Nacional;211516;-1009369
Ilidza;438167;183000
Aflao;61468;11799
Janiuay;109500;1225000
Kanhangad;123000;750900
La Carlota;104167;1229167
Castro;-247908;-500119
Vidnoye;555500;377167
Rockville;390834;-771553
Haverhill;427838;-710871
Bongabon;156321;1211448
Lupon;68969;1260117
Rio Grande;-537833;-677000
Guines;228475;-820236
Hanover;398118;-769836
Shawnee;390158;-948076
Fukutsu;337667;1304833
Virginia;-281064;268622
Middletown;403892;-740820
Cedeno;67100;-661127
Rome;342662;-851863
Godalming;511800;-6100
Nueva Guinea;116867;-844561
Coonoor;113450;767950
Pessac;448067;-6311
Old Bridge;404004;-743126
Gohna;291300;769000
El Seibo;187630;-690420
Pabianice;516500;193833
Kerpen;508719;66961
Arcot;129000;793333
Capanema;-11958;-471808
Genk;509662;55021
Janauba;-158028;-433089
Bulancak;409333;382333
Botolan;152896;1200245
Pulivendla;144167;782333
Cumra;375750;327747
Boras;577211;129403
Arambagh;228800;877800
Hit;336450;428264
South Hill;471198;-1222853
Opol;85167;1245667
Karimama;120667;31833
Ocoyoacac;192739;-994606
Belogorsk;509167;1284667
Qarqan;381338;855333
Piduguralla;164793;798863
Gwacheon;374333;1270000
DeKalb;419314;-887481
Petaluma;382423;-1226266
Saiki;329667;1319000
Ishim;561167;695000
Sammamish;476017;-1220416
San Antonio Suchitepequez;145333;-914167
Georgetown;306660;-976966
Valence;449333;48917
Angat;149281;1210293
Caledon;438667;-798667
Gukovo;480500;399167
Xieqiaocun;304973;1206106
Carbondale;377221;-892237
Urla;383222;267647
Kavala;409333;244000
Rechytsa;523639;303947
San Remigio;110000;1239500
Delray Beach;264550;-800905
Dundalk;392704;-764942
Puliyankudi;91725;773956
Huquan;397603;1142834
Kalush;490442;243597
Kenner;300109;-902549
Shiojiri;361150;1379534
Albany;446272;-1230965
Zeist;520906;52331
Slavyansk-na-Kubani;452500;381167
Ankeny;417288;-936031
Ilo;-176459;-713453
Itaberaba;-125278;-403069
Oas;132589;1234953
Malvar;140417;1211583
Castro Valley;377088;-1220626
Bethesda;389866;-771188
Saratoga Springs;430674;-737775
Kampung Tengah;14897;1020797
Kazanlak;426167;254000
Dangbo;65000;26833
Kungur;574333;569333
Lencois Paulista;-225986;-488003
Roxas;171167;1216167
Obera;-274833;-551333
Lantapan;80000;1250233
Uniao dos Palmares;-91628;-360319
Chibok;108697;128467
Singaparna;-73497;1081106
Sangamner;195700;742200
San Gil;65592;-731350
Sindelfingen;487133;90028
Don Torcuato;-345000;-586167
Corvallis;445698;-1232779
Seraing;505833;55000
El Carmen de Bolivar;97167;-751333
Stupino;548833;381000
Most;505031;136367
Asenovgrad;420167;248667
Madirovalo;-164333;465333
Venancio Aires;-296058;-521919
Ames;420256;-936217
Tigbauan;106747;1223776
Glens Falls;433109;-736458
San Francisco El Alto;149500;-914500
Xibang;309412;1208872
Lahat;-37970;1035220
Kiamba;59833;1246167
Anamur;360243;328026
Coron;120000;1202000
Michigan City;417092;-868690
Menzel Temime;367833;109833
Weimar;509833;113167
Villasis;159000;1205833
Santo Tome;-316667;-607667
Neuwied;504286;74614
Lutayan;66000;1248500
Gopichettipalaiyam;114549;774365
Nieuwegein;520333;50833
Xiantangcun;237940;1147447
Ina;358275;1379540
Sirsi;286400;786400
Tupa;-219350;-505139
Solano;165183;1211811
Dhuri;303685;758679
Jagraon;307800;754800
Daule;-18667;-799833
Nagcarlan;141364;1214165
Zarechnyy;532000;451667
Bordj Menaiel;367417;37231
Istaravshan;399108;690064
Victoria;288287;-969849
Sinnar;198500;740000
Ladysmith;-285597;297806
Villach;466167;138333
Bourges;470844;23964
Alipur Duar;264890;895270
Torquay;504700;-35300
Purulha;152353;-902350
Gloucester;397924;-750363
St. Albert;536303;-1136258
Roeselare;509447;31233
Ferrol;434844;-82328
Baqershahr;355325;514025
Xarardheere;46544;478575
Jocotitlan;197072;-997867
Rath;255800;795700
Vaijapur;199200;747300
Los Amates;152667;-891000
Ico;-64008;-388619
Beloretsk;539667;584000
Jaisalmer;269167;709167
Januaria;-154878;-443619
Weirton;404060;-805671
Tandur;172300;775800
Ishimbay;534500;560333
Leszno;518458;165806
Peruibe;-243100;-470000
Aran Bidgol;340575;514828
Korosten;509500;286500
Jamjamal;355333;448333
Birnin Konni;137904;52599
Novi;424786;-834893
Develi;383886;354925
Quezon;92350;1179967
Idappadi;115835;778341
Villa Curuguaty;-244800;-557100
Dormagen;511000;68167
Plauen;504833;121167
Sandefjord;591306;102167
Palitana;215200;718300
Odendaalsrus;-278667;266833
Chunian;309639;739803
Halabjah;351833;459833
Viana;-203900;-404958
Rosenheim;478500;121333
Marinilla;61738;-753347
Alpharetta;340704;-842738
Formiga;-204639;-454258
Mecheria;335500;-2833
Wesley Chapel;282106;-823238
Esquipulas;146167;-892000
Caripito;101124;-631034
Maasin;58667;1250000
Pokrovsk;482828;371828
Ban Lam Sam Kaeo;139728;1006511
Svyetlahorsk;526333;297333
Marovoay;-161111;466439
Soloma;157167;-914500
Bazar-e Yakawlang;347333;669667
Ra's al Khafji;284167;485000
Chiquimulilla;140858;-903822
Ito;349657;1391019
Tadepalle;164833;806000
Bucak;374592;305953
Donskoy;539658;383247
Yanagawa;331597;1304081
Miyoshi;350894;1370748
Isabela;102000;1229833
Saravia;108833;1229667
Bertioga;-238539;-461389
Hilongos;103667;1247500
Neubrandenburg;535569;132611
Gadwal;162300;778000
Yattir;314478;350900
Sibulan;93500;1232833
Jatani;201700;857000
Chipindo;-138244;158000
Seydisehir;374183;318506
Kodad;169978;799653
Santo Domingo Tehuantepec;163184;-952478
Meulaboh;41333;961167
Chokwe;-245253;330086
Binga;24000;204200
Waltham;423889;-712423
Sodegaura;354300;1399544
Cruz das Almas;-126700;-391019
Rahat;313925;347544
San Felipe;-327500;-707239
Tamana;329281;1305594
Apaseo el Alto;204500;-1006167
Laguna Niguel;335275;-1177050
Hiriyur;139446;766172
San Clemente;334499;-1176102
Qinggang;466900;1261000
Vittoria;369500;145333
Pirane;-257328;-591100
Grevenbroich;510883;65875
Dhuburi;260200;900000
Atimonan;140036;1219199
Nanpara;278700;815000
Lingshou;383063;1143879
Santiago Tianguistenco;191797;-994706
Nawalgarh;278500;752700
Estancia;-112678;-374378
Tenri;345967;1358372
North Little Rock;347807;-922371
Irun;433378;-17888
Fraijanes;144622;-904386
Ouricuri;-78828;-400819
Pomezia;416693;125021
Tohana;297000;759000
Cienaga de Oro;88833;-756167
Samastipur;258629;857811
Salto de Agua;174167;-921833
Crotone;390833;171167
Ghardimaou;364500;84333
Bamei;242634;1050809
Tuao;177350;1214553
Sangmelima;29333;119833
Sheikhpura;251403;858508
Nawa;328889;360431
At Tall;336000;363000
Asbest;570000;614667
Povoa de Varzim;413800;-87608
Niksar;405833;369667
Penedo;-102900;-365858
Fairbanks;648353;-1476533
Sibalom;107883;1220175
Tiquisate;142833;-913667
Kangbao;418513;1146091
Mahdasht;357194;507978
Maidenhead;515217;-7177
Simav;390833;289833
Eden Prairie;448488;-934595
Armur;187900;782900
West Hartford;417669;-727536
Quimper;479967;-40964
Lugano;460050;89525
Chik Ballapur;134300;777200
Pflugerville;304515;-976018
Asahi;357167;1406500
Santa Cruz;157667;1199167
Yangqingcun;213594;1101164
Tsuruga;356452;1360555
Ponferrada;425461;-65908
Casper;428420;-1063208
Jose Panganiban;142922;1226928
Boadilla del Monte;404069;-38750
Vigevano;453167;88667
Burnsville;447648;-932793
Athni;167300;750700
Klintsy;527500;322333
Midoun;338000;110000
Sittingbourne;513400;7400
Bognor Regis;507824;-6764
Zvornik;443833;191000
Bhairahawa;275000;834500
Sherkot;293500;785800
Nankana Sahib;314500;737067
Dikirnis;310883;315969
Woking;513050;-5390
Zarand;308128;565639
Kurihara;387301;1410215
Grand Forks;479214;-970884
Randers;564570;100390
Velika Gorica;457000;160667
Escada;-83592;-352236
Chincha Alta;-134500;-761333
Visnagar;237000;725500
Guiglo;65500;-74833
Brentwood;379356;-1217190
Tajumulco;150839;-919233
Graaff-Reinet;-322522;245406
Herten;516000;71333
Moncada;157331;1205725
Wenxicun;281565;1203824
Ain Sefra;327500;-5833
Galgamuwa;80000;802831
Rouiba;367333;32833
Bhabhua;250500;836200
Budennovsk;447833;441667
Badr Hunayn;237800;387906
Khulays;221539;393183
Asaka;406333;722333
Greenwich;410665;-736368
Rolandia;-233100;-513689
Granby;454000;-727333
Millcreek;406892;-1118292
Carrara;440792;101000
Shiroi;357915;1400563
Elmira;420938;-768097
Balboa Heights;89500;-795500
Nago;265917;1279775
Mercedes;-346500;-594333
Santo Antonio do Descoberto;-159400;-482550
Wundanyi;-33983;383603
Ranipet;129247;793333
Sebring;274770;-814530
Chelm;511322;234778
Abu Qurqas;279333;308333
Coon Rapids;451755;-933094
Medicine Hat;500417;-1106775
Bannu;329864;706044
Volsk;520500;473833
Tartagal;-225000;-638333
Meshkin Dasht;357469;509383
Kaga;363028;1363150
Washim;201000;771500
Qurayyat;233200;589080
Bossier City;325224;-936668
Novaya Balakhna;564899;436011
Grande Prairie;551708;-1187947
Koshizuka;328860;1307897
Oudtshoorn;-335833;222000
Bansalan;67833;1252167
San Fernando;79178;1253286
Hamilton;393939;-845653
Chidambaram;114070;796912
Itupeva;-231531;-470578
Lomza;531764;220731
Calinog;111333;1225000
Santa Ana;150939;1207681
Taylor;422260;-832688
Puerto Asis;5167;-765000
Lower Merion;400282;-752807
Caldiran;391419;439139
Batatais;-208911;-475850
Kasongo;-44500;266500
Sirsi;146195;748354
Sao Borja;-286608;-560039
Pesqueira;-83617;-366947
Lakewood;471628;-1225299
Palmela;385667;-89000
Fujioka;362587;1390746
Yurimaguas;-59000;-760833
Laharpur;277200;809000
Greenwood;396019;-861073
Tighenif;354167;3330
Nkawkaw;65500;-7667
Bellevue;411485;-959390
Pavlovskiy Posad;557667;386667
Mut;366333;334333
Cruz Alta;-286386;-536064
Rossosh;502000;395500
Widnes;533630;-27280
Kapatagan;79000;1237667
Sumbawa Besar;-85000;1174167
Boditi;68667;378667
Camaqua;-308528;-518153
Margate;513850;13838
Oriximina;-17658;-558658
Zory;500500;187000
Kolomyia;485167;250333
Qoryooley;17833;445333
Revda;568053;599283
Anse a Galets;188333;-728667
Borisoglebsk;513667;420833
Kotlas;612500;466333
Deva;458781;229144
Zelenogorsk;561000;945833
Bainet;181833;-727500
Camboriu;-270250;-486539
Moore;353293;-974757
Shangtangcun;215989;1115907
Council Bluffs;412369;-958516
Rowlett;329155;-965489
El Wak;28028;409275
Mobarakeh;323464;515044
Leninogorsk;546000;525000
Tulkarm;323117;350272
Berekum;74500;-25833
Spring;300613;-953830
Wels;481500;140167
Narwana;296167;761117
Kayes;-41681;132939
Port Charlotte;269918;-821140
Tendo;383623;1403779
Menzel Bourguiba;371500;97833
Villa Carlos Paz;-314000;-645167
Bensalem;401086;-749431
Reston;389497;-773461
Bergheim;509667;66500
Tefe;-33539;-647108
Kolding;554917;95000
Friedrichshafen;476500;94833
Riosucio;54208;-757025
Siddhapur;239167;723833
Nanjangud;121200;766800
Tarnowskie Gory;504444;188583
San Juan Chamelco;154257;-903263
Boryspil;503500;309500
Carazinho;-282839;-527858
Caltanissetta;374903;140625
Meihua;378862;1148204
Katuete;-242481;-547575
Dearborn Heights;423164;-832769
Tuapse;441044;390772
Puerto Penasco;313167;-1135369
Aurora;133500;1225167
Figueira da Foz;401500;-88500
Analavory;-189667;467167
Chistopol;553647;506261
Camotan;148167;-893667
Itoman;261236;1276658
Port Orange;291085;-810137
Ogoshi;328833;1307833
Penapolis;-214200;-500778
Itapecuru Mirim;-33928;-443589
Horsens;558583;98500
Encinitas;330492;-1172610
Springfield;440538;-1229811
Mitoyo;341825;1337150
Ipira;-121578;-397369
Great Falls;475022;-1112996
Asker;598331;104392
Cambanugoy;75386;1257508
Naro-Fominsk;553833;367667
Grajau;-58189;-461389
Morada Nova;-51069;-383728
Ostuncalco;148693;-916211
Pacajus;-41728;-384608
Viareggio;438672;102506
Baao;134535;1233654
Jhargram;224500;869800
Ramanathapuram;93639;788395
Manicaragua;221500;-799764
Zaraza;93394;-653167
Candon;171958;1204489
San Francisco;-314356;-620714
Qiryat Gat;316061;347717
Rocky Mount;359685;-778040
La Democracia;156333;-918667
Ar Rastan;349167;367333
San Antonio del Tachira;78145;-724431
Diphu;258300;934300
Santo Domingo;155900;1208786
Polevskoy;564500;601833
Plato;97919;-747872
Yangiyul;411125;690467
Satbayev;479000;675333
Piripiri;-42728;-417769
Sarandi;-346833;-583333
Derik;373658;402697
Mielec;502833;214333
Schwabisch Gmund;488000;98000
Hita;333167;1309333
Aisai;351528;1367282
Santo Amaro;-125469;-387119
Montauban;440181;13558
Sao Miguel dos Campos;-97808;-360939
Kapchagay;438833;770833
Camabatela;-81833;153667
Lysva;581003;578042
Ilobasco;138400;-888500
Trikala;395500;217667
Coroata;-41300;-441239
Xinmin;351180;1080986
Fairfield;411775;-732733
Sungo;-112333;143167
Rubizhne;490336;383722
St. Thomas;427750;-811833
Sayyid Sadiq;353536;458667
Orion;146206;1205817
Sibay;527000;586500
Sawahlunto;-6828;1007783
Cabatuan;108833;1224833
Itogon;163700;1206700
Offenburg;484667;79333
Wanparti;163623;780622
Hato Mayor;187667;-692500
Airdrie;512917;-1140144
Santa Catarina Ixtahuacan;148000;-913667
Djibo;141011;-16306
Iztapa;139331;-907075
Cajazeiras;-68900;-385619
Uzunkopru;412669;266875
Garbsen;524183;95981
Commerce City;398641;-1048430
Ararangua;-289350;-494858
Pontiac;426493;-832878
Kozluk;381944;414911
Fano;438333;130167
Udamalpet;105855;772513
Wellington;266461;-802699
Slutsk;530333;275667
Rio do Sul;-272139;-496428
Khagaria;255022;864671
Vacaria;-285119;-509339
Hurth;508775;68761
Tigaon;136319;1234975
Dumraon;255526;841515
Nordre Fale;597500;108667
Abuyog;107458;1250122
Kindamba;-37275;145211
Barberena;143167;-903667
Acarau;-28858;-401200
Bocaranga;69844;156408
Wesel;516586;66178
Trollhattan;582828;122892
Halton Hills;436300;-799500
Hamden;413961;-729215
San Rafael;379905;-1225221
Tulunan;68333;1248833
Adjohon;67000;24667
Nahariyya;330058;350989
Obando;147083;1209375
Chamrajnagar;119231;769395
Idiofa;-49668;195910
Gaibandha;253290;895415
Skhirate;338500;-70300
Navegantes;-268989;-486539
Rosario;162333;1204833
Barabai;-25833;1153833
Panruti;117700;795500
Neka;366508;532992
Campo Bom;-296789;-510528
Yongyang;271017;1067332
Jinoba-an;96018;1224668
Acerra;409500;143667
Burhaniye;395000;269500
Malay;118997;1219094
Plymouth;418783;-706309
Woodland;386712;-1217500
Marietta;339533;-845422
Castilla;129553;1238764
Tamba;351833;1350333
Oda;59236;-9883
Al Qurayya;350025;405117
Chapel Hill;359271;-790391
Chalkida;384625;235950
Velampalaiyam;111376;773106
Nambuangongo;-80167;142000
Sennan;343628;1352761
Villamaria;50000;-755000
Laoang;125667;1250167
Cubulco;151083;-906306
Tomaszow Mazowiecki;515167;200167
Shihe;392708;1135478
Dongcun;382800;1116751
Matanao;67500;1252333
Meriden;415369;-727946
Koga;337333;1304667
Calulo;-100007;149010
Gubat;129189;1241231
Bristol;416812;-729407
Stralsund;543092;130819
Igarape-Miri;-19750;-489600
Zamora;415033;-57556
Ibitinga;-217578;-488289
Palm Harbor;280847;-827481
Druzhkivka;486203;375278
Langenfeld;511167;69500
Autlan de Navarro;197667;-1043667
Savona;443080;84810
Jupiter;269200;-801128
Hendersonville;363063;-865997
Kangan;278389;520619
Piscataway;405467;-744636
San Vicente del Raspeig;383964;-5253
Belchatow;513667;193667
Razampeta;141954;791590
Atotonilco el Alto;205333;-1025000
Matera;406667;166000
Neu-Ulm;483833;100000
Mirassol;-208189;-495208
Greifswald;540833;133833
Hashimoto;343167;1356000
Kumertau;527667;557833
Ponnuru;160667;805667
Paracale;142797;1227869
Yongbei;266897;1007463
Rzhev;562500;343167
Molfetta;412000;166000
Civril;383014;297386
Clay;431808;-761954
Consuelito;185600;-693000
Belladere;188667;-717667
Sao Gabriel;-303358;-543200
Kakuma;37167;348667
Mossel Bay;-341833;221333
Medellin;111286;1239622
Olbia;409167;95000
Jiguani;203731;-764222
Des Plaines;420345;-879008
Arankhola;246610;900884
Parkent;412944;696764
Sayanogorsk;530500;914500
Bor;378833;345667
Lakhdaria;365622;35944
Maimbung;59333;1210333
Kathua;323850;755170
Esmeraldas;-197628;-443139
Barneveld;521333;55833
Yame;331994;1305589
San Mateo Ixtatan;158333;-914833
North Lakhimpur;272414;941056
Afula;326064;352881
Manhica;-254000;328000
Benevento;411333;147833
Belebey;541000;541333
Babolsar;367025;526575
Labinsk;446333;407333
Lianzhuang;371146;1157594
Sanford;287891;-812757
San Simon;149980;1207800
Camocim;-29019;-408408
Garin;-344167;-587500
Gunupur;190800;838200
Shimotsuke;363872;1398421
Alfonso;141379;1208552
Chandralapadu;167150;802089
Urus-Martan;431333;455500
Abyek;360400;505311
Huntersville;354060;-808716
San Mariano;169833;1220167
Benevides;-13608;-482450
Towada;406127;1412059
Suifenhe;443998;1311478
Euless;328508;-970800
Aranjuez;400333;-36028
Saravan;273708;623342
Vinukonda;160500;797500
Kananya;111856;1245597
Ash Shaykh Zuwayd;312119;341106
Sanyo-Onoda;340000;1311833
Rapar;235700;706300
Banane;5000;386700
Ilog;100333;1227667
Niort;463258;-4606
Gohadi;264328;784420
Sigaboy;66536;1260717
Horqueta;-233442;-570436
San Marcos;86611;-751347
Bayji;349292;434931
Lagoa Santa;-196269;-438900
Kribi;29350;99100
Pachora;206700;753500
Buqda Caqable;40600;452575
Maues;-33836;-577186
Shegaon;207944;766944
Ragay;138217;1227897
Xinfeng;249167;1210000
Bougouni;114167;-74833
Hardenberg;525667;66167
Huajiang;257491;1056063
Sardhana;291450;776100
Heerhugowaard;526667;48333
Shuya;568500;413667
Aguacatan;153429;-913120
Uriangato;201333;-1011667
Huehuetoca;198342;-992033
San Francisco;106500;1243500
Guerra;185500;-697000
Hamburg;427394;-788581
Lesosibirsk;582358;924828
Zhoujiajing;311116;1210518
Chibuto;-246833;335333
Richland;462824;-1192939
Saint-Louis du Sud;182667;-735500
Palmares;-86828;-355919
Joso;360236;1399938
Pasrur;322681;746675
Mouscron;507333;32167
Santee;328554;-1169851
Irosin;127050;1240319
Narasapur;164361;817016
Saint-Hyacinthe;456167;-729500
Ogori;334000;1305500
Goianesia;-153169;-491169
Alcoy;386983;-4736
San Luis;150400;1207919
Unna;515347;76889
Agrigento;373167;135833
Camajuani;224678;-797239
Montenegro;-296889;-514608
Santa Isabel do Para;-12989;-481608
Roxas;125833;1215000
Prokhladnyy;437500;440333
Dhone;153960;778720
Kesennuma;389081;1415699
Yara;202767;-769469
Esfarayen;370764;575100
Ouinhri;70000;24500
Moron;221108;-786278
Los Andes;-328333;-706167
Lucas do Rio Verde;-130500;-559108
Manchester;417753;-725242
Hyuga;324167;1316167
Binnaguri;264600;892000
Hua Hin;125686;999578
Tiruvalur;107730;796370
Gannan;479117;1234978
Esperanza;86760;1256454
Rajgarh;286400;753800
Aleksandrov;563936;387150
Ibaan;138176;1211330
Sonabedha;187300;828300
Motril;367500;-35167
El Salvador;85667;1245167
Tahara;346688;1372809
Zahirabad;176814;776074
Kokomo;404640;-861277
Mansalay;125204;1214385
Chikuma;365339;1381200
Calatagan;138322;1206322
Shirakawa;371263;1402109
Halesowen;524502;-20509
Oued Lill;368333;100500
Chichibu;359918;1390855
Tianningcun;308938;1208009
Santa Maria Chiquimula;150292;-913294
Zengcun;382451;1147367
Masantol;149000;1207167
Kattaqo'rg'on Shahri;398989;662561
Euskirchen;506597;67917
Ranchuelo;223764;-801510
Canlaon;103833;1232000
Pamplona;73781;-726525
Florida;33275;-762386
Jaguariuna;-226800;-469900
Nuzvid;167800;808500
Sandila;270800;805200
Constanza;189100;-707500
Upleta;217300;702800
Damghan;361683;543481
Wani;200556;789533
Metapan;143314;-894428
Liantangcun;229517;1124597
Upi;70106;1241629
Taunton;419036;-710943
Faenza;442856;118833
Bilhorod-Dnistrovskyi;461833;303500
St. Clair Shores;424925;-828961
Xikeng;240505;1168538
Goppingen;487025;96528
Towson;393944;-766190
Camacupa;-120256;174686
Doetinchem;519667;63000
Yaguajay;223303;-792369
Kelibia;368500;111000
Barra do Garcas;-158900;-522569
Rass el Djebel;372150;101200
Gattaran;180611;1216453
Panskura;224200;877000
Myaungmya;165833;949083
Pedro Leopoldo;-196178;-440428
Mpondwe;400;297250
Piparia;227570;783550
Lac-Brome;452167;-725167
Timargara;348278;718417
Boufarik;365750;29097
Caldwell;436453;-1166594
Wuyang;270570;1083959
Una;208200;710300
Jovellanos;228106;-811981
Barotac Nuevo;109000;1227000
Bezerros;-82333;-357500
Beauvais;494303;20952
Mikhaylovka;500667;432500
Baganga;75752;1265585
Palompon;110500;1243833
Surubim;-78319;-357558
Izberbash;425633;478636
Sucun;310554;1181057
Asingan;160023;1206695
Lohardaga;234300;846800
Abaji;84756;69433
Cerignola;412667;159000
Yanguancun;304541;1205545
Kas;362000;296349
Orland Park;416075;-878619
Qaskeleng;432000;766200
Aldershot;512483;-7614
